Crime,Address,Date,Time
Aggravated assault,100 block Hudson St,9/26/2015,9:35 p.m.
Aggravated assault,200 block Lincoln Av,9/26/2015,11:31 p.m.
Aggravated assault,200 block Crippen Av,9/25/2015,7:00 p.m.-12:35 a.m.
Aggravated assault,700 block E Genesee St,9/25/2015,3:31 p.m.
Aggravated assault,200 block Fitch St,9/25/2015,2:30 p.m.
Aggravated assault,200 block N West St,9/24/2015,1:30 a.m.
Aggravated assault,2400 block S State St,9/24/2015,1:00 p.m.
Aggravated assault,100 block Gifford St,9/24/2015,9:00 p.m.
Aggravated assault,500 block Cortland Av,9/24/2015,11:10 p.m.
Aggravated assault,100 block Taft Av,9/24/2015,11:30 p.m.
Aggravated assault,100 block Hope Av,9/23/2015,2:48 p.m.
Aggravated assault,100 block Lincoln Av,9/22/2015,6:31 p.m.
Aggravated assault,700 block Second North St,9/21/2015,7:39 p.m.
Aggravated assault,300 block Spring St,9/21/2015,9:42 p.m.
Aggravated assault,200 block Markland Av,9/20/2015,8:49 p.m.
Aggravated assault,1000 block W Onondaga St,9/19/2015,1:58 a.m.
Aggravated assault,300 block Garfield Av,9/19/2015,5:00 a.m.
Aggravated assault,100 block Riverdale Dr,9/19/2015,11:36 p.m.
Aggravated assault,200 block W Lafayette Av,9/19/2015,10:00 a.m.
Aggravated assault,300 block Fitch St,9/18/2015,12:29 a.m.
Aggravated assault,100 block Ballantyne Rd,9/18/2015,3:15 a.m.-3:17 a.m.
Aggravated assault,300 block Fobes Av,9/18/2015,12:56 p.m.
Aggravated assault,0 block Destiny Usa Dr,9/18/2015,9:06 p.m.
Aggravated assault,500 block Catherine St,9/18/2015,9:50 p.m.
Aggravated assault,700 block Butternut St,9/17/2015,4:10 p.m.
Aggravated assault,2100 block E Fayette St,9/16/2015,7:42 p.m.
Aggravated assault,100 block Dougall Av,9/16/2015,8:44 p.m.
Aggravated assault,2600 block Midland Av,9/15/2015,3:44 a.m.
Aggravated assault,700 block Dewitt St,9/15/2015,9:29 p.m.
Aggravated assault,200 block State Fair Blvd,9/15/2015,11:00 p.m.-11:09 p.m.
Aggravated assault,100 block S Clinton St,9/15/2015,11:40 p.m.
Aggravated assault,100 block Randall Av,9/14/2015,2:23 a.m.
Aggravated assault,200 block Seneca Dr,9/13/2015,1:35 a.m.-1:43 a.m.
Aggravated assault,1500 block Teall Av,9/12/2015,3:23 p.m.
Aggravated assault,0 block Destiny Usa Dr,9/12/2015,8:45 p.m.
Aggravated assault,200 block Essex St,9/10/2015,8:30 a.m.-1:18 p.m.
Aggravated assault,100 block Grassman Av,9/10/2015,2:00 p.m.-2:04 p.m.
Aggravated assault,400 block Smith St,9/10/2015,3:30 p.m.-3:41 p.m.
Aggravated assault,200 block Merriman Av,9/9/2015,7:25 a.m.
Aggravated assault,900 block S Geddes St,9/9/2015,11:00 a.m.
